rank,word1,word2,similarity_score,word1_frequency,word2_frequency,avg_frequency,word1_length,word2_length,avg_length
1,relationship,relationships,0.976,238,101,169.5,12,13,12.5
2,sometimes,sometime,0.9647058823529412,672,90,381.0,9,8,8.5
3,question,questions,0.9647058823529412,409,297,353.0,8,9,8.5
4,starting,staring,0.96,296,77,186.5,8,7,7.5
5,service,services,0.96,232,80,156.0,7,8,7.5
6,students,student,0.96,197,154,175.5,8,7,7.5
7,mistake,mistakes,0.96,100,74,87.0,7,8,7.5
8,school,schools,0.9538461538461539,1568,94,831.0,6,7,6.5
9,though,thought,0.9538461538461539,1520,1393,1456.5,6,7,6.5
10,reason,reasons,0.9538461538461539,672,172,422.0,6,7,6.5
11,decided,decide,0.9538461538461539,635,144,389.5,7,6,6.5
12,second,seconds,0.9538461538461539,526,106,316.0,6,7,6.5
13,brother,bother,0.9538461538461539,371,105,238.0,7,6,6.5
14,sister,sisters,0.9538461538461539,327,85,206.0,6,7,6.5
15,street,streets,0.9538461538461539,298,71,184.5,6,7,6.5
16,answer,answers,0.9538461538461539,296,97,196.5,6,7,6.5
17,results,result,0.9538461538461539,161,152,156.5,7,6,6.5
18,lesson,lessons,0.9538461538461539,128,82,105.0,6,7,6.5
19,consider,considered,0.9333333333333333,146,90,118.0,8,10,9.0
20,reading,regarding,0.925,627,72,349.5,7,9,8.0
21,experience,experiences,0.9214285714285715,374,84,229.0,10,11,10.5
22,computer,computers,0.9202614379084968,522,72,297.0,8,9,8.5
23,favorite,favourite,0.9202614379084968,434,78,256.0,8,9,8.5
24,american,americans,0.9147058823529413,431,111,271.0,8,9,8.5
25,continue,continued,0.9147058823529413,206,78,142.0,8,9,8.5
26,remember,member,0.9142857142857143,826,127,476.5,8,6,7.0
27,waiting,wanting,0.9142857142857143,393,139,266.0,7,7,7.0
28,turned,returned,0.9142857142857143,370,122,246.0,6,8,7.0
29,research,search,0.9142857142857143,170,151,160.5,8,6,7.0
30,character,characters,0.9112781954887218,177,102,139.5,9,10,9.5
31,problem,problems,0.9099999999999999,477,263,370.0,7,8,7.5
32,picture,pictures,0.9099999999999999,345,340,342.5,7,8,7.5
33,promise,promised,0.9099999999999999,113,73,93.0,7,8,7.5
34,surprise,surprised,0.907563025210084,138,115,126.5,8,9,8.5
35,feeling,feelings,0.9028571428571428,772,197,484.5,7,8,7.5
36,american,america,0.9028571428571428,431,300,365.5,8,7,7.5
37,brother,brothers,0.9028571428571428,371,92,231.5,7,8,7.5
38,realize,realized,0.9028571428571428,295,246,270.5,7,8,7.5
39,comments,comment,0.9028571428571428,290,269,279.5,8,7,7.5
40,teacher,teachers,0.9028571428571428,248,97,172.5,7,8,7.5
41,program,programs,0.9028571428571428,172,83,127.5,7,8,7.5
42,spending,sending,0.9028571428571428,91,86,88.5,8,7,7.5
43,particular,particularly,0.901010101010101,145,111,128.0,10,12,11.0
44,should,shouldn,0.8967032967032967,1983,160,1071.5,6,7,6.5
45,friends,friend,0.8967032967032967,1374,1065,1219.5,7,6,6.5
46,talking,taking,0.8967032967032967,774,499,636.5,7,6,6.5
47,change,changed,0.8967032967032967,603,274,438.5,6,7,6.5
48,change,changes,0.8967032967032967,603,114,358.5,6,7,6.5
49,minutes,minute,0.8967032967032967,556,237,396.5,7,6,6.5
50,playing,paying,0.8967032967032967,547,118,332.5,7,6,6.5
